Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
      1.09000      0.00000      0.00000      0.00000
      1.10000      0.00000      0.00000      0.00000
      1.11000      0.00000      0.00000      0.00000
      1.12000      0.00000      0.00000      0.00000
      1.13000      0.00000      0.00000      0.00000
      1.14000      0.00000      0.00000      0.00000
      1.15000      0.00000      0.00000      0.00000
      1.16000      0.00000      0.00000      0.00000
      1.17000      0.00000      0.00000      0.00000
      1.18000      0.00000      0.00000      0.00000
      1.19000      0.00000      0.00000      0.00000
      1.20000      0.00000      0.00000      0.00000
      1.21000      0.00000      0.00000      0.00000
      1.22000      0.00000      0.00000      0.00000
      1.23000      0.00000      0.00000      0.00000
      1.24000      0.00000      0.00000      0.00000
      1.25000      0.00000      0.00000      0.00000
      1.26000      0.00000      0.00000      0.00000
      1.27000      0.00000      0.00000      0.00000
      1.28000      0.00000      0.00000      0.00000
